gene_id,log2foldchange,pvalue,padjust,gene_chr
AGAP011327,-0.506653417856039,0.305543319427351,0.557010734318534,AgamP4_3L
AGAP012365,2.11510633237031,0.305618325382992,1,AgamP4_3L
AGAP000734,0.282818190362424,0.30564562876984,0.55709179611702,AgamP4_X
AGAP006649,-0.175111542379845,0.305756544248192,0.557188510436014,AgamP4_2L
AGAP011069,1.58382476296697,0.305884997335778,0.557317141381172,AgamP4_3L
AGAP007061,-3.49516974227534,0.305907123049216,1,AgamP4_2L
AGAP001602,-0.440515872816009,0.305962000731489,0.557352000954223,AgamP4_2R
AGAP002936,-1.88314468751565,0.305981646307291,1,AgamP4_2R
AGAP003266,0.382494746744683,0.306041132902996,0.557390724468373,AgamP4_2R
AGAP007693,-1.68658541925281,0.306363884065312,1,AgamP4_2L
AGAP007591,0.413513972458327,0.306471812964035,0.557906321731089,AgamP4_2L
AGAP002291,-1.39114385281536,0.306481872009915,0.557906321731089,AgamP4_2R
AGAP006158,0.90765249966093,0.30656793876881,0.557906321731089,AgamP4_2L
AGAP005716,-0.59917265827423,0.306629118592068,0.557906321731089,AgamP4_2L
AGAP009791,0.228422826125353,0.3067511449747,0.557906321731089,AgamP4_3R
AGAP003496,-1.04714974879501,0.306804949685835,0.557906321731089,AgamP4_2R
AGAP028565,0.218220592290308,0.306815176291205,0.557906321731089,AgamP4_3R
AGAP000611,3.17247285118877,0.306817952894344,1,AgamP4_X
AGAP007361,0.156923428871011,0.306836486558818,0.557906321731089,AgamP4_2L
AGAP001045,0.185039259320452,0.306880295262907,0.557906321731089,AgamP4_X
AGAP007262,0.385209836031894,0.306903508725086,0.557906321731089,AgamP4_2L
AGAP005801,-0.163816140997909,0.307058407934877,0.558082567809171,AgamP4_2L
AGAP007450,-1.14656691758478,0.307145136325022,0.558105977325485,AgamP4_2L
AGAP012910,-0.287827482897308,0.307187185733817,0.558105977325485,AgamP4_UNKN
AGAP005163,0.272553752781518,0.307305611463766,0.558150314763995,AgamP4_2L
AGAP011441,-1.11390079111523,0.307327496541737,0.558150314763995,AgamP4_3L
AGAP008488,-0.157832320641639,0.307434847956281,0.558240011437961,AgamP4_3R
AGAP029607,-0.303328286994624,0.307531067556659,0.558309464964784,AgamP4_3L
AGAP010535,2.02038919038569,0.307541052300547,1,AgamP4_3L
AGAP011361,-0.782899801982115,0.307628765195363,0.558381575121852,AgamP4_3L
