ontology,GO,description,hours,gene
MF,GO:0046914,transition metal ion binding,6,AGAP012984
MF,GO:0046914,transition metal ion binding,6,AGAP013128
MF,GO:0046914,transition metal ion binding,6,AGAP013155
MF,GO:0046914,transition metal ion binding,6,AGAP013188
MF,GO:0046914,transition metal ion binding,6,AGAP013255
MF,GO:0046914,transition metal ion binding,6,AGAP013305
MF,GO:0046914,transition metal ion binding,6,AGAP013393
MF,GO:0046914,transition metal ion binding,6,AGAP013511
MF,GO:0046914,transition metal ion binding,6,AGAP013758
MF,GO:0046914,transition metal ion binding,6,AGAP028040
